epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
80,714.151,1.08852,0.64705,0.95307,0.87002,0.85559,0.92313,0.64622,1.09215,0.63987,0.97169,0.00168716,0.00168716,0.00168716
81,723.115,1.08504,0.64044,0.94637,0.8786,0.8406,0.92239,0.64147,1.09854,0.63385,0.9764,0.0016832,0.0016832,0.0016832
82,731.979,1.08633,0.63841,0.95376,0.87584,0.83799,0.92524,0.64103,1.08304,0.63414,0.9737,0.00167924,0.00167924,0.00167924
83,741.11,1.08996,0.65721,0.95382,0.8952,0.85263,0.93083,0.64525,1.09929,0.61699,0.98714,0.00167528,0.00167528,0.00167528
84,750.193,1.0882,0.6386,0.95104,0.84513,0.88872,0.91855,0.64725,1.09475,0.61831,0.98403,0.00167132,0.00167132,0.00167132
85,759.373,1.08542,0.63918,0.954,0.84157,0.87218,0.90973,0.62432,1.11658,0.65016,0.99888,0.00166736,0.00166736,0.00166736
86,768.257,1.07333,0.62477,0.94985,0.88054,0.85347,0.92927,0.64695,1.09444,0.62035,0.98293,0.0016634,0.0016634,0.0016634
87,777.083,1.07628,0.63464,0.95422,0.8746,0.87669,0.93764,0.6569,1.09246,0.61708,0.97446,0.00165944,0.00165944,0.00165944
88,785.956,1.09903,0.63455,0.96271,0.85606,0.89023,0.93276,0.64339,1.09088,0.63271,0.97028,0.00165548,0.00165548,0.00165548
89,794.804,1.1059,0.68397,0.96806,0.87664,0.8406,0.92161,0.64947,1.09543,0.62525,0.97457,0.00165152,0.00165152,0.00165152
90,803.667,1.08492,0.63898,0.95164,0.85739,0.89023,0.934,0.65473,1.10111,0.62405,0.97868,0.00164756,0.00164756,0.00164756
91,812.494,1.07877,0.63485,0.9446,0.8404,0.88571,0.93426,0.66231,1.08018,0.60551,0.96739,0.0016436,0.0016436,0.0016436
92,821.702,1.08072,0.62663,0.94805,0.84099,0.86767,0.91541,0.63835,1.11757,0.63588,0.98622,0.00163964,0.00163964,0.00163964
93,830.554,1.07103,0.61834,0.95031,0.8668,0.8797,0.92857,0.65421,1.10015,0.61925,0.9749,0.00163568,0.00163568,0.00163568
94,839.608,1.07773,0.63016,0.9452,0.88752,0.8797,0.9353,0.65353,1.09708,0.60881,0.97856,0.00163172,0.00163172,0.00163172
95,848.509,1.08688,0.62407,0.95064,0.85854,0.86617,0.92712,0.64714,1.1012,0.61477,0.98233,0.00162776,0.00162776,0.00162776
96,858.176,1.07149,0.62395,0.95152,0.88312,0.86352,0.92541,0.6512,1.08843,0.61588,0.97613,0.0016238,0.0016238,0.0016238
97,867.057,1.0825,0.63365,0.95298,0.88841,0.84999,0.92789,0.65862,1.09275,0.61405,0.97187,0.00161984,0.00161984,0.00161984
98,875.811,1.08209,0.62539,0.94594,0.89213,0.85817,0.93824,0.66417,1.08694,0.60464,0.96759,0.00161588,0.00161588,0.00161588
99,884.572,1.06287,0.61171,0.94902,0.8523,0.86775,0.91828,0.64142,1.09621,0.62775,0.97924,0.00161192,0.00161192,0.00161192
100,893.713,1.0703,0.61792,0.94214,0.8749,0.85414,0.9282,0.66041,1.10405,0.6092,0.98487,0.00160796,0.00160796,0.00160796
101,902.577,1.06457,0.63278,0.9465,0.88051,0.85113,0.93529,0.65672,1.08152,0.61291,0.95894,0.001604,0.001604,0.001604
