epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
74,40.4504,0.91651,1.37593,0.87324,0.98125,0.59879,0.44928,0.43989,0.25055,0.5891,0.43478,0.41299,0.22279,1.36516,3.23231,2.23957,1.19391,0.00124897,0.00124897,0.00124897
75,40.9292,1.08542,1.89009,0.98895,1.04316,0.73953,0.43478,0.50093,0.29481,0.72099,0.42029,0.45819,0.24694,1.33195,3.45824,2.22143,1.17528,0.00126315,0.00126315,0.00126315
76,41.3964,1.08034,1.66297,0.90405,1.03049,0.73953,0.43478,0.50093,0.29481,0.72099,0.42029,0.45819,0.24694,1.33195,3.45824,2.22143,1.17528,0.00127725,0.00127725,0.00127725
77,41.8422,1.02996,1.51574,0.87703,0.99881,0.73953,0.43478,0.50093,0.29481,0.72099,0.42029,0.45819,0.24694,1.33195,3.45824,2.22143,1.17528,0.00129127,0.00129127,0.00129127
78,42.3118,1.11749,1.77653,0.9665,1.05704,0.81836,0.45715,0.58,0.36698,0.81799,0.45602,0.56925,0.29983,1.31626,3.21547,2.08003,1.16975,0.00130521,0.00130521,0.00130521
79,42.8559,0.92498,1.273,0.82262,0.9791,0.81836,0.45715,0.58,0.36698,0.81799,0.45602,0.56925,0.29983,1.31626,3.21547,2.08003,1.16975,0.00131907,0.00131907,0.00131907
80,43.4238,0.92568,1.38194,0.86057,0.96151,0.81836,0.45715,0.58,0.36698,0.81799,0.45602,0.56925,0.29983,1.31626,3.21547,2.08003,1.16975,0.00133286,0.00133286,0.00133286
81,43.9774,0.84682,1.20153,0.87648,0.9688,0.77864,0.45888,0.56493,0.32809,0.75404,0.44439,0.51677,0.26968,1.4016,3.26353,2.06926,1.23301,0.00134656,0.00134656,0.00134656
82,44.411,1.05196,1.76104,1.06922,1.0311,0.77864,0.45888,0.56493,0.32809,0.75404,0.44439,0.51677,0.26968,1.4016,3.26353,2.06926,1.23301,0.00136018,0.00136018,0.00136018
83,44.9095,0.93181,1.31513,0.99264,1.05437,0.77864,0.45888,0.56493,0.32809,0.75404,0.44439,0.51677,0.26968,1.4016,3.26353,2.06926,1.23301,0.00137373,0.00137373,0.00137373
