epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
119,947.459,1.04746,0.60269,0.93301,0.88972,0.86492,0.92141,0.63747,1.18021,0.60244,0.97881,0.00153272,0.00153272,0.00153272
120,955.654,1.06092,0.60065,0.9409,0.87894,0.85818,0.91906,0.64004,1.15339,0.60976,0.97093,0.00152876,0.00152876,0.00152876
121,963.588,1.04163,0.58975,0.93142,0.86261,0.88345,0.92418,0.64968,1.17144,0.59299,0.97851,0.0015248,0.0015248,0.0015248
122,971.481,1.04262,0.59587,0.92697,0.86218,0.87805,0.91418,0.64114,1.14906,0.58484,0.97573,0.00152084,0.00152084,0.00152084
123,979.487,1.04241,0.58329,0.93694,0.88768,0.86492,0.92658,0.6513,1.16198,0.60601,0.98152,0.00151688,0.00151688,0.00151688
124,987.326,1.04911,0.58785,0.94003,0.88529,0.87805,0.91887,0.65146,1.18558,0.58295,0.98536,0.00151292,0.00151292,0.00151292
125,995.132,1.04402,0.5851,0.92774,0.89701,0.87054,0.92142,0.65592,1.14364,0.5852,0.97617,0.00150896,0.00150896,0.00150896
126,1003.23,1.03869,0.58469,0.92851,0.86997,0.8743,0.92461,0.65148,1.17832,0.60338,0.99572,0.001505,0.001505,0.001505
127,1011.32,1.05085,0.58439,0.93192,0.87604,0.88555,0.93074,0.65248,1.15921,0.59687,0.97784,0.00150104,0.00150104,0.00150104
128,1019.07,1.02258,0.57942,0.92502,0.89729,0.8523,0.93328,0.64577,1.18052,0.59796,0.97591,0.00149708,0.00149708,0.00149708
129,1026.86,1.0364,0.57811,0.92771,0.88576,0.85829,0.91294,0.62588,1.17073,0.5972,0.97788,0.00149312,0.00149312,0.00149312
130,1034.87,1.03635,0.58481,0.92595,0.86566,0.8743,0.91111,0.62556,1.18489,0.60306,0.99059,0.00148916,0.00148916,0.00148916
131,1042.74,1.01969,0.57573,0.92424,0.86697,0.86679,0.9136,0.63911,1.18893,0.5977,0.99221,0.0014852,0.0014852,0.0014852
132,1050.42,1.02435,0.57771,0.93023,0.88566,0.85929,0.919,0.64346,1.19519,0.60919,0.98138,0.00148124,0.00148124,0.00148124
133,1058.21,1.04192,0.58172,0.92762,0.90795,0.86679,0.93311,0.66141,1.15658,0.58515,0.97534,0.00147728,0.00147728,0.00147728
134,1066.1,1.02873,0.57856,0.92825,0.8823,0.85178,0.92568,0.65117,1.17384,0.64299,0.96828,0.00147332,0.00147332,0.00147332
135,1074.07,1.04043,0.58958,0.93259,0.88465,0.89493,0.92511,0.64393,1.15453,0.59483,0.9714,0.00146936,0.00146936,0.00146936
136,1081.88,1.01879,0.57603,0.91761,0.8572,0.8672,0.92144,0.64614,1.15871,0.6105,0.97223,0.0014654,0.0014654,0.0014654
137,1089.79,1.02042,0.5698,0.92578,0.88233,0.87226,0.91715,0.63752,1.17447,0.58948,0.99017,0.00146144,0.00146144,0.00146144
138,1097.7,1.01534,0.56878,0.93309,0.89806,0.85951,0.92792,0.64618,1.16251,0.58786,0.97623,0.00145748,0.00145748,0.00145748
139,1105.99,1.04102,0.57729,0.92892,0.88601,0.86039,0.92029,0.64525,1.16746,0.57896,0.9814,0.00145352,0.00145352,0.00145352
140,1114.26,1.03438,0.57622,0.93271,0.8765,0.88368,0.93769,0.65826,1.15271,0.58851,0.97103,0.00144956,0.00144956,0.00144956
141,1122.42,1.03197,0.58279,0.93519,0.87695,0.86912,0.921,0.6562,1.17426,0.58503,0.98175,0.0014456,0.0014456,0.0014456
142,1130.55,1.02253,0.56759,0.92449,0.90436,0.8743,0.92851,0.65779,1.15474,0.58905,0.97891,0.00144164,0.00144164,0.00144164
143,1138.54,1.0152,0.562,0.91705,0.8701,0.88555,0.92789,0.65163,1.16483,0.58842,0.97019,0.00143768,0.00143768,0.00143768
144,1146.36,1.03762,0.5782,0.93216,0.89797,0.86679,0.93395,0.65828,1.15334,0.58492,0.96864,0.00143372,0.00143372,0.00143372
145,1154.29,1.0273,0.57781,0.92573,0.88795,0.88743,0.9406,0.66355,1.16798,0.5726,0.96799,0.00142976,0.00142976,0.00142976
146,1162.17,1.02423,0.5726,0.92518,0.84895,0.90685,0.93074,0.64047,1.17506,0.5918,0.97369,0.0014258,0.0014258,0.0014258
147,1169.95,1.01605,0.5623,0.92368,0.8543,0.91557,0.93282,0.64959,1.16768,0.56802,0.97743,0.00142184,0.00142184,0.00142184
148,1177.81,1.00962,0.56147,0.92129,0.88169,0.88931,0.9402,0.65268,1.17825,0.57803,0.981,0.00141788,0.00141788,0.00141788
149,1185.67,1.01308,0.5657,0.92689,0.91236,0.85943,0.93393,0.6532,1.1728,0.57607,0.98822,0.00141392,0.00141392,0.00141392
150,1193.5,1.02916,0.57245,0.92515,0.87947,0.8743,0.93012,0.65184,1.17757,0.58127,0.97987,0.00140996,0.00140996,0.00140996
151,1201.51,1.02563,0.56491,0.92609,0.90767,0.85741,0.93225,0.66705,1.15874,0.56481,0.98119,0.001406,0.001406,0.001406
152,1209.63,1.01075,0.55247,0.92479,0.90983,0.87992,0.92791,0.65146,1.14535,0.58469,0.97769,0.00140204,0.00140204,0.00140204
153,1217.49,1.01703,0.56575,0.92952,0.87205,0.89511,0.92581,0.65337,1.1456,0.57941,0.97535,0.00139808,0.00139808,0.00139808
154,1225.24,1.01855,0.56444,0.92002,0.88798,0.89233,0.93058,0.65003,1.15907,0.57562,0.97489,0.00139412,0.00139412,0.00139412
155,1233.21,0.99567,0.5555,0.92573,0.85257,0.90054,0.93309,0.65418,1.18173,0.57328,0.98973,0.00139016,0.00139016,0.00139016
156,1241.24,1.01891,0.57199,0.92273,0.88197,0.89724,0.93347,0.656,1.16736,0.56051,0.97704,0.0013862,0.0013862,0.0013862
157,1249.15,1.01154,0.55277,0.92661,0.90128,0.86679,0.92682,0.65296,1.15563,0.58786,0.98495,0.00138224,0.00138224,0.00138224
158,1257.24,1.00618,0.5548,0.91978,0.9099,0.85178,0.93151,0.6594,1.15015,0.56701,0.98658,0.00137828,0.00137828,0.00137828
159,1265.13,1.01011,0.55396,0.92488,0.89245,0.87617,0.93369,0.65393,1.15019,0.55623,0.97384,0.00137432,0.00137432,0.00137432
